date,open,high,low,close,volume
2015-01-09 09:15:00,8285.45,8295.9,8285.45,8292.1,0
2015-01-09 09:16:00,8292.6,8293.6,8287.2,8288.15,0
2015-01-09 09:17:00,8287.4,8293.9,8287.4,8293.9,0
2015-01-09 09:18:00,8294.25,8300.65,8293.9,8300.65,0
2015-01-09 09:19:00,8300.6,8301.3,8298.75,8301.2,0
2015-01-09 09:20:00,8300.5,8303.0,8298.6,8300.0,0
2015-01-09 09:21:00,8300.65,8302.9,8300.0,8301.85,0
2015-01-09 09:22:00,8302.45,8302.45,8295.0,8295.0,0
2015-01-09 09:23:00,8294.85,8295.35,8293.25,8294.7,0
2015-01-09 09:24:00,8295.2,8302.55,8294.7,8301.0,0
2015-01-09 09:25:00,8301.65,8302.55,8294.9,8295.0,0
2015-01-09 09:26:00,8295.4,8295.6,8289.45,8289.45,0
2015-01-09 09:27:00,8289.65,8293.5,8286.8,8293.5,0
2015-01-09 09:28:00,8292.3,8293.5,8288.65,8290.4,0
2015-01-09 09:29:00,8290.65,8294.15,8290.1,8294.15,0
2015-01-09 09:30:00,8294.1,8295.75,8288.1,8289.75,0
2015-01-09 09:31:00,8289.4,8290.45,8288.0,8289.5,0
2015-01-09 09:32:00,8289.55,8289.85,8282.0,8283.1,0
2015-01-09 09:33:00,8282.75,8285.8,8280.65,8284.65,0
2015-01-09 09:34:00,8283.45,8290.05,8283.0,8288.5,0
2015-01-09 09:35:00,8289.1,8290.45,8283.8,8285.25,0
2015-01-09 09:36:00,8284.75,8287.55,8284.3,8285.1,0
2015-01-09 09:37:00,8284.95,8285.55,8278.0,8278.85,0
2015-01-09 09:38:00,8278.95,8283.3,8278.55,8282.55,0
2015-01-09 09:39:00,8282.3,8283.45,8281.2,8283.45,0
2015-01-09 09:40:00,8283.4,8286.05,8281.65,8284.95,0
2015-01-09 09:41:00,8284.95,8288.3,8284.6,8285.6,0
2015-01-09 09:42:00,8286.1,8286.65,8278.8,8280.15,0
